entity_count,operation,sample,calls,elapsed_ticks,microseconds_per_call,managed_bytes,managed_bytes_per_call
1000,Find.last,3,8,9842,123.025,0,0
1000,Find.last,4,8,9909,123.8625,0,0
1000,Find.last,5,8,10792,134.9,0,0
1000,Find.last,6,8,9788,122.35,0,0
1000,Find.last,7,8,10134,126.675,0,0
1000,Find.last,8,8,9829,122.8625,0,0
1000,Find.last,9,8,10587,132.3375,0,0
1000,Find.last,10,8,11319,141.4875,0,0
1000,Find.last,11,8,12427,155.3375,0,0
1000,Find.last,12,8,14032,175.4,0,0
1000,Find.last,13,8,11693,146.1625,0,0
1000,Find.last,14,8,9900,123.75,0,0
1000,Find.last,15,8,10000,125,0,0
1000,Find.last,16,8,10462,130.775,0,0
1000,Find.last,17,8,10410,130.125,0,0
1000,Find.last,18,8,10297,128.7125,0,0
1000,Find.last,19,8,10203,127.5375,0,0
1000,Find.last,20,8,10415,130.1875,0,0
1000,Find.last,21,8,10211,127.6375,0,0
1000,Find.last,22,8,10194,127.425,0,0
1000,Find.last,23,8,9625,120.3125,0,0
1000,Find.last,24,8,9531,119.1375,0,0
1000,Find.missing,0,8,11429,142.8625,0,0
1000,Find.missing,1,8,9723,121.5375,0,0
1000,Find.missing,2,8,9633,120.4125,0,0
1000,Find.missing,3,8,9736,121.7,0,0
1000,Find.missing,4,8,9578,119.725,0,0
1000,Find.missing,5,8,9701,121.2625,0,0
1000,Find.missing,6,8,10321,129.0125,0,0
1000,Find.missing,7,8,10226,127.825,0,0
1000,Find.missing,8,8,10311,128.8875,0,0
1000,Find.missing,9,8,9884,123.55,0,0
1000,Find.missing,10,8,9746,121.825,0,0
1000,Find.missing,11,8,9759,121.9875,0,0
1000,Find.missing,12,8,10353,129.4125,0,0
1000,Find.missing,13,8,9799,122.4875,0,0
1000,Find.missing,14,8,10311,128.8875,0,0
1000,Find.missing,15,8,10096,126.2,0,0
1000,Find.missing,16,8,10009,125.1125,0,0
1000,Find.missing,17,8,10107,126.3375,0,0
1000,Find.missing,18,8,10935,136.6875,0,0
